game_id,move_index,player,source,move,winner,board_before
threat_60,0,O,human,81,O,................................................................................................X..............XXO............XOO................................................................................................
threat_61,0,O,human,81,O,................................................................................................X..............XXO...........OXOO............X...................................................................................
threat_62,0,O,human,110,O,..........O....................................................................................................XXX..............O................................................................................................
threat_63,0,O,human,114,O,..........O...................................................................................................XXXX.............OO................................................................................................
threat_64,0,O,human,96,O,.......................................................O.......................................................X..............XO.............X...................................................................................
threat_65,0,O,human,81,O,.........................................O.............O........................................X..............X..............XO.............X...................................................................................
threat_66,0,O,human,68,O,..........O............................................O..........................X.............X.............X..................................................................................................................
threat_67,0,O,human,124,O,..........O...........................................OO............X.............X.............X.............X..................................................................................................................
threat_68,0,O,human,141,O,.......................................................O.....................................X...............X...O...........X...................................................................................................
threat_69,0,O,human,157,O,.......................................................O.....................O...............X...............X...O...........X...............X...................................................................................
threat_70,0,O,human,127,O,.......................................................O.............................X.............X.............XO..............................................................................................................
threat_71,0,O,human,141,O,.......................................................O...............O.............X.............X.............XO............X.................................................................................................
threat_72,0,O,human,66,O,.................................................................................OX...............X..............OX..............................................................................................................
threat_73,0,O,human,146,O,..................................................................O..............OX...............X..............OX...............X..............................................................................................
threat_74,0,O,human,50,O,..................................................................O..............OX...............X..............OX.X.............X...............O..............................................................................
threat_75,0,O,human,50,O,..................................................................O..............OX...............X...X..........OX.X.............X...............O...............O..............................................................
threat_76,0,O,human,158,O,..O...............................................................O..............OX...............X...X..........OX.X.............X.............X.O...............O..............................................................
threat_77,0,O,human,130,O,.......................................................O.............................X..............X..............X.............................O...............................................................................
threat_78,0,O,human,130,O,.......................................................O..............O..............X..............XX.............X.............................O...............................................................................
threat_79,0,O,human,130,O,.......................................................O..O...........O..............X.............XXX.............X.............................O...............................................................................
threat_80,0,O,human,97,O,.......................................................O..O...........O..............X............XXXX.............X.............................O..............O................................................................
threat_81,0,O,human,112,O,........................................O...........................................................O.............XXX............................................................................................................
threat_82,0,O,human,112,O,........................................O..............O............................................O............XXXX............................................................................................................
threat_83,0,O,human,84,O,..................................................................................O..............XX.............XO............XO.................................................................................................
threat_84,0,O,human,84,O,..................................................................................O..............XX.............XO............XOX...........O....................................................................................
threat_85,0,O,human,70,O,..................................................................................O.O...........XXX.............XO............XOX...........O....................................................................................
threat_86,0,O,human,80,O,..................................................................................O.O...........XXX.............XO............XOX...........O...X.........O......................................................................
threat_87,0,O,human,142,O,..................................................................................X..............X..............XO.............O.................................................................................................
threat_88,0,O,human,142,O,...................................................................O..............X..............X.............XXO.............O.................................................................................................
threat_89,0,O,human,142,O,....................................................O..............O..............X.............XX.............XXO.............O.................................................................................................
threat_90,0,O,human,142,O,....................................................O..............O.............XX.............XX............OXXO.............O.................................................................................................
threat_91,0,O,human,142,O,....................................................O..............O............XXX.............XX............OXXO............OO.................................................................................................
threat_92,0,O,human,128,O,....................................................O...........X..O............XXX.............XX............OXXO............OO.............O...................................................................................
threat_93,0,O,human,110,O,....................................................................X.............X.............X..............O.O...............................................................................................................
threat_94,0,O,human,124,O,...................................................................XX.............X.............X.............OO.O...............................................................................................................
threat_95,0,O,human,124,O,...................................................................XX.............X............OXX............OO.O...............................................................................................................
threat_96,0,O,human,112,O,...................................................................XX..........X..X............OXX............OO.O.............O.................................................................................................
threat_97,0,O,human,112,O,...................................................................XX..........XX.X............OXX............OO.O...........O.O.................................................................................................
threat_98,0,O,human,78,O,...................................................................XX..........XXXXO...........OXX............OO.O...........O.O.................................................................................................
threat_99,0,O,human,80,O,...........X......................................................................O.............XO.............OXO.............XX................................................................................................
threat_100,0,O,human,80,O,...........X......................................................................O.............XO............OOXO.............XX...............X................................................................................
threat_101,0,O,human,52,O,................................................................................X.............X.............X.OO.................................................................................................................
threat_102,0,O,human,52,O,...............................................................................XX.............XO............X.OO.................................................................................................................
threat_103,0,O,human,52,O,..............................................................................OXX............XXO............X.OO.................................................................................................................
threat_104,0,O,human,52,O,.................................................................X............OXX............XXO............XOOO.................................................................................................................
threat_105,0,O,human,52,O,.................................................................XX...........OXX............XXO...........OXOOO.................................................................................................................
threat_106,0,O,human,126,O,.................................................................................X..............X..............XOO...............................................................................................................
threat_107,0,O,human,141,O,.................................................................................X..............X............O.XOO............X..................................................................................................
threat_108,0,O,human,111,O,.................................................................OX..............X..............X............................O...................................................................................................
threat_109,0,O,human,126,O,.................................................................OX..............X..............X..............X.............O................O..................................................................................
threat_110,0,O,human,126,O,..................................................................X..............X..............X..............OO................................................................................................................
threat_111,0,O,human,36,O,...................................................X..............X..............X..............X..............OO.............O..................................................................................................
threat_112,0,O,human,80,O,................................................................................................X..............OX...............X.............O..................................................................................
threat_113,0,O,human,144,O,................................................................................X...............X..............OXO..............X.............O..................................................................................
threat_114,0,O,human,110,O,..........O......................................................................................O.............XXX...............................................................................................................
threat_115,0,O,human,114,O,..........O......................................................................................O............OXXX..............X................................................................................................
threat_116,0,O,human,109,O,..........O......................................................................................OX...........OXXXO.............X................................................................................................
threat_117,0,O,human,83,O,..........O......................................................................................OX.........O.OXXXO.............X..............X.................................................................................
threat_118,0,O,human,111,O,..........O.....................................................................................................XXX.........................O....................................................................................
threat_119,0,O,human,110,O,..........O....................................................................................................XXXXO........................O....................................................................................
threat_120,0,O,human,126,O,........................................O.........................X..............X..............X..............O.................................................................................................................
threat_121,0,O,human,126,O,........................................O..........O..............X.............XX..............X..............O.................................................................................................................
threat_122,0,O,human,126,O,.....................O..................O..........O..............X............XXX..............X..............O.................................................................................................................
threat_123,0,O,human,82,O,.....................O..............O...O..........O..............X...........XXXX..............X..............O.................................................................................................................
threat_124,0,O,human,81,O,..................................................O...........................XXX.O..............................................................................................................................................
threat_125,0,O,human,83,O,..................................................O..........................OXXXXO..............................................................................................................................................
threat_126,0,O,human,83,O,..................................................O...............X.........OOXXXXO..............................................................................................................................................
threat_127,0,O,human,83,O,..................................................O...............X.........OOXXXXO.O...........X................................................................................................................................
threat_128,0,O,human,126,O,..................................................O...............X.........OOXXXXOOO...........X..............X.................................................................................................................
threat_129,0,O,human,111,O,..........O.....................................................................................................XXX.........................O....................................................................................
threat_130,0,O,human,110,O,..........O....................................................................................................XXXXO........................O....................................................................................
threat_131,0,O,human,82,O,..............................................................................XXXO............................................O..................................................................................................
threat_132,0,O,human,76,O,.............................................................................XXXXOO...........................................O..................................................................................................
